"word","freq"
"만료",3
"만삭",47
"만성",105
"만성기관지염",5
"만성신부전",8
"만취상태",10
"말단",5
"말라리아",4
"말벌",1
"말초",1
"말초신경",4
"말초신경병",2
"말투",35
"말하기",48
"망막",20
"망막박리",1
"망막염",2
"망막증",7
"망상",176
"망상장애",3
"망치",51
"맞은편",5
"매독",8
"매듭",1
"매연",2
"맥박",45
"맥박수",3
"맨눈",1
"맹장",26
"맹장염",32
"머리",1805
"머리둘레",53
"머리말",1
"머리뼈",5
"머리안",3
"머리쪽",12
"머리카락",28
"먹기",1
"먹이",2
"먼지진드기",1
"멀미",2
"메가비타민",1
"메신저",3
"메탄",1
"메트로니다졸",2
"메트포르민",1
"메트헤모글로빈",2
"메틸프레드니솔론",1
"면담",138
"면봉",7
"면역",44
"면역글로불린",2
"면역반응",1
"면역억제",19
"면역억제제",94
"면역조직화학염색",2
"면역질환",2
"면적",1
"면접",11
"면허",7
"명령",25
"명료한",7
"명세서",1
"명치",76
"명치부위",34
"명치통증",6
"명칭",1
"모낭염",3
"모니터",8
"모니터링",6
"모델",3
"모래",1
"모르핀",1
"모반",18
"모방",1
"모서리",63
"모세혈관",1
"모습",5400
"모야모야병",5
"모양",110
"모유",37
"모유수유",28
"모유황달",1
"모의",1
"모자",8
"모조",1
"모종",2
"모체",1
"모형",2
"모호",2
"목구멍",12
"목덜미",3
"목동맥",3
"목록",1
"목발",21
"목소리",429
"목욕",45
"목적",158
"목젖",2
"목통증",56
"몸통",75
"몸통증",1
"못걸음",3
"몽골",5
"몽유병",4
"묘사",8
"무가",2
"무감각",1
"무감동",1
"무게",19
"무관심",3
"무균",2
"무기",2
"무기력",54
"무뇌아",1
"무뇌증",3
"무능",1
"무더기",1
"무력",4
"무력증",2
"무릎",1535
"무릎관절",12
"무릎관절염",1
"무릎밑",2
"무릎뼈",2
"무릎아래",8
"무릎통증",99
"무리",227
"무시",174
"무욕",6
"무용",1
"무월경",13
"무정자증",1
"무좀",30
"무중력",1
"무증상",12
"무지외반",1
"무지외반증",12
"무통",5
"무통성",5
"무혈성",12
"무혈성괴사",2
"무호흡",11
"문맥",4
"문신",8
"문외한",1
"문제",2061
"문제행동",19
"문진",15
"문턱",12
"문합",1
"문항",2
"문화",7
"물결",1
"물리적",8
"물리치료",385
"물리치료사",4
"물받이",1
"물변",2
"물설사",62
"물질",11
"물집",90
"물체",112
"물치료",13
"물혹",38
"뭉치",20
"미각",7
"미간",7
"미로",1
"미만",160
"미생물",1
"미생물학",1
"미세떨림",1
"미세수술",1
"미세알부민뇨",1
"미세한",7
"미세혈뇨",1
"미숙",3
"미숙아",59
"미열",261
"미용",7
"미주",1
"민감",12
"밀봉",1
"바구니",1
"바깥",46
"바늘",82
"바닥",510
"바닥쪽",1
"바셀린",1
"바위",14
"바이러스",31
"바탕",6
"박동",3
"박리",12
"박사",7
"박탈",5
"박하",2
"반경",110
"반구",2
"반대쪽",16
"반동",3
"반맹",3
"반발",11
"반복",1918
"반성",4
"반신욕",2
"반응",559
"반응성",1
"반응속도",3
"반전",41
"반점",35
"반죽",2
"반지",6
"반쪽",7
"반창고",1
"반추",1
"반코마이신",1
"반혼수",1
"받침대",1
"발가락",361
"발견",4041
"발관",1
"발기",4
"발기부전",3
"발꿈치",25
"발달",280
"발달장애",11
"발달지연",132
"발등",163
"발목",653
"발목관절",2
"발목통증",13
"발바닥",174
"발바닥통증",1
"발병",57
"발사",1
"발산",2
"발생빈도",3
"발성",2
"발성장애",3
"발열",3875
"발열기",1
"발열기간",1
"발음",155
"발음장애",9
"발자국",26
"발작",29
"발작기",3
"발진",313
"발치",102
"발톱",43
"발통증",2
"발판",9
"발한",7
"발현",28
"발효",2
"밤낮",20
"방광",88
"방광결석",9
"방광경",13
"방광암",85
"방광염",88
"방광요관역류",1
"방귀",4
"방도",2
"방독면",1
"방법",72
"방벽",1
"방부제",1
"방사",61
"방사선",321
"방사선검사",1
"방사선사진",1
"방사선종양학",1
"방사선치료",123
"방사성",2
"방식",8
"방실차단",2
"방어",2
"방울",6
"방음",2
"방지",8
"방출",1
"방해",41
"방향제",2
"배경",4
"배꼽",68
"배꼽밑",1
"배꼽부위",1
"배꼽주위",12
"배꼽탈장",3
"배농",12
"배뇨",45
"배뇨장애",29
"배뇨통",15
"배당",2
"배란",8
"배란유도",6
"배란통",2
"배반",1
"배변",108
"배변곤란",2
"배변습관",3
"배분",1
"배설",2
"배설물",2
"배아이식",2
"배안",2
"배액",153
"배액관",12
"배양",43
"배열",3
"배우자",55
"배제",129
"배쪽",10
"배출",38
"배치",16
"백내장",149
"백반증",2
"백색증",1
"백신",9
"백태",5
"백혈구",54
"백혈구증가",1
"백혈병",21
"밸브",13
"버릇",17
"번역",5
"벌레",64
"벌집",1
"범뇌염",1
"범복막염",1
"범불안",1
"범위",62
"범죄",5
"법정",3
"법학",1
"벙어리",2
"베개",8
"벽사이",6
"변경",575
"변동",11
"변량",7
"변비",363
"변색",8
"변성",4
"변압기",1
"변연",8
"변이",129
"변질",1
"변태",1
"변형",32
"변화",565
"별개",6
"병기",14
"병동",233
"병력",6416
"병력청취",1
"병리",40
"병리진단",1
"병리학",1
"병리학적",13
"병마",10
"병발",7
"병변",579
"병상",9
"병소",15
"병약",1
"병용",7
"병용요법",1
"병원내",2
"병원의사",1
"병원전",1
"병인",1
"병적",18
"병적골절",1
"보건소",203
"보고",95
"보관",5
"보균자",74
"보라색",6
"보상",17
"보습",6
"보습제",15
"보유",3
"보육",3
"보조",85
"보조기",1
"보조기구",4
"보조제",3
"보존",40
"보존치료",7
"보청기",23
"보체",1
"보충",9
"보통",4
"보폭",11
"보행",201
"보행기",16
"보행장애",51
"보험",52
"보형물",9
"보호",85
"보호자",2625
"복강",12
"복강경",52
"복강경수술",3
"복강내",27
"복강내출혈",1
"복구",1
"복귀",50
"복막",28
"복막염",65
"복막천자",1
"복막투석",43
"복벽",19
"복부",1320
"복부대동맥류",2
"복부둘레",2
"복부팽만",107
"복사",4
"복수",329
"복시",59
"복원",7
"복음",1
"복장뼈",6
"복지",5
"복통",2493
"복합",9
"복합부위통증증후군",5
"볼거리",7
"볼트",3
"봄철",4
"봉합",35
"부갑상선",5
